keyword,originating_seed,originating_competitor_domain_page,competitor_type,source_endpoint,resolved_location_name,resolved_location_code,resolved_language_name,resolved_language_code,search_volume,monthly_trend,CPC,paid_competition,paid_competition_level,organic_keyword_difficulty,detected_intent,current_domain_position,current_ranking_URL,business_fit_note,exclusion_flag,exclusion_reason,data_update_timestamp
virtuve atvērtai viesistabai,situācijas,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuve nestandarta telpai,situācijas,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves uzglabāšanas risinājumi,outcomes,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuve mazai telpai,outcomes,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves iekārta nišai,outcomes,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
iebūvējamās tehnikas integrācija virtuvē,outcomes,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves salas plānošana,outcomes,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves stūra risinājumi,outcomes,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves tāme,outcomes,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves cenas aprēķins,outcomes,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves piedāvājums,outcomes,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves konsultācijas pieteikums,outcomes,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves piegāde un uzstādīšana,delivery_install,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves izgatavošana un uzstādīšana,delivery_install,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves montāža pēc izgatavošanas,delivery_install,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves uzstādīšanas cena,delivery_install,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves iekārtas montāža,delivery_install,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves pēc pasūtījuma Rīga,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves pēc pasūtījuma Mārupe,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves pēc pasūtījuma Stopiņi,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves pēc pasūtījuma Ulbroka,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves pēc pasūtījuma Ķekava,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves pēc pasūtījuma Babīte,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves pēc pasūtījuma Garkalne,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves pēc pasūtījuma Salaspils,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves pēc pasūtījuma Ādaži,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves pēc pasūtījuma Jūrmala,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves pēc pasūtījuma Olaine,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves pēc pasūtījuma Piņķi,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves pēc pasūtījuma Carnikava,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves pēc pasūtījuma Ropaži,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves pēc pasūtījuma Ikšķile,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves pēc pasūtījuma Ogre,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves pēc pasūtījuma Baldone,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves pēc pasūtījuma Saulkrasti,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves pēc pasūtījuma Jelgava,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves pēc pasūtījuma Sigulda,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves izgatavošana Rīga,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves izgatavošana Mārupe,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves izgatavošana Ķekava,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves izgatavošana Jūrmala,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves izgatavošana Jelgava,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves iekārtas pēc pasūtījuma Rīga,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves iekārtas pēc pasūtījuma Mārupe,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves iekārtas pēc pasūtījuma Ķekava,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves iekārtas pēc pasūtījuma Jūrmala,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves iekārtas pēc pasūtījuma Jelgava,virtuves pēc pasūtījuma + verified location,,,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),Latvia,2428,Latvian,lv,,,,,,,,,,Verified service location; no DataForSEO overview row returned. Preserve only as limited local evidence.,False,,2026-07-29
virtuves sala,competitor ranked keyword,https://virtuvesjums.lv/product-category/virtuves-ar-salu/,direct custom-kitchen provider,DataForSEO Labs Google Ranked Keywords: virtuvesjums.lv; request id 07291353-1514-0381-0000-92f8061b97e4,Latvia,2428,Latvian,lv,320.0,"{""2026-06"":260,""2026-05"":320,""2026-04"":320,""2026-03"":320,""2026-02"":320,""2026-01"":320,""2025-12"":260,""2025-11"":320,""2025-10"":260,""2025-09"":590,""2025-08"":210,""2025-07"":210}",0.47,0.5,MEDIUM,,navigational,,,"Direct competitor ranks at group position 47; relevant as overlap/imperfect-page evidence, not target-domain ranking.",False,,2026-07-29
mēbeles pēc pasūtījuma,competitor ranked keyword,https://virtuvesjums.lv/,direct custom-kitchen provider,DataForSEO Labs Google Ranked Keywords: virtuvesjums.lv; request id 07291353-1514-0381-0000-92f8061b97e4,Latvia,2428,Latvian,lv,110.0,"{""2026-06"":50,""2026-05"":90,""2026-04"":90,""2026-03"":210,""2026-02"":170,""2026-01"":90,""2025-12"":110,""2025-11"":70,""2025-10"":110,""2025-09"":170,""2025-08"":50,""2025-07"":70}",1.3,0.47,MEDIUM,8.0,transactional,,,"Direct competitor ranks at group position 13; relevant as overlap/imperfect-page evidence, not target-domain ranking.",False,,2026-07-29
iebūvējamās virtuves cenas,competitor ranked keyword,https://virtuvesjums.lv/,direct custom-kitchen provider,DataForSEO Labs Google Ranked Keywords: virtuvesjums.lv; request id 07291353-1514-0381-0000-92f8061b97e4,Latvia,2428,Latvian,lv,70.0,"{""2026-06"":20,""2026-05"":20,""2026-04"":20,""2026-03"":30,""2026-02"":50,""2026-01"":70,""2025-12"":50,""2025-11"":40,""2025-10"":70,""2025-09"":390,""2025-08"":50,""2025-07"":40}",1.46,0.42,MEDIUM,16.0,commercial,,,"Direct competitor ranks at group position 17; relevant as overlap/imperfect-page evidence, not target-domain ranking.",False,,2026-07-29
virtuves iekārtas izgatavošana,competitor ranked keyword,https://virtuvesjums.lv/,direct custom-kitchen provider,DataForSEO Labs Google Ranked Keywords: virtuvesjums.lv; request id 07291353-1514-0381-0000-92f8061b97e4,Latvia,2428,Latvian,lv,70.0,"{""2026-06"":20,""2026-05"":20,""2026-04"":40,""2026-03"":40,""2026-02"":30,""2026-01"":40,""2025-12"":30,""2025-11"":20,""2025-10"":50,""2025-09"":390,""2025-08"":20,""2025-07"":30}",1.11,0.66,MEDIUM,,transactional,,,"Direct competitor ranks at group position 12; relevant as overlap/imperfect-page evidence, not target-domain ranking.",False,,2026-07-29
virtuves mēbeļu izgatavošana,competitor ranked keyword,https://virtuvesjums.lv/,direct custom-kitchen provider,DataForSEO Labs Google Ranked Keywords: virtuvesjums.lv; request id 07291353-1514-0381-0000-92f8061b97e4,Latvia,2428,Latvian,lv,70.0,"{""2026-06"":20,""2026-05"":20,""2026-04"":20,""2026-03"":30,""2026-02"":30,""2026-01"":40,""2025-12"":40,""2025-11"":50,""2025-10"":90,""2025-09"":390,""2025-08"":50,""2025-07"":50}",2.47,0.78,HIGH,,transactional,,,"Direct competitor ranks at group position 5; relevant as overlap/imperfect-page evidence, not target-domain ranking.",False,,2026-07-29
